with_statement_2_sanitized,False
with_statement_2_actual,False
object_sensitivity_2_actual,False
for_statement_1_false_positive,True
for_statement_1_actual,True
for_statement_1_sanitized,False
inherited_objects_1_actual,True
inherited_objects_1_false_positive,False
decorator_2_actual,False
dict_access_1_false_positive,True
dict_access_1_sanitized,False
dict_access_1_actual,True
deque_access_1_sanitized,False
deque_access_1_actual,True
deque_access_1_false_positive,True
object_sensitivity_1_false_positive,False
object_sensitivity_1_actual,False
list_copy_1_actual,True
list_copy_1_false_positive,False
aliasing_1_actual,False
aliasing_1_false_positive,False
imports_1_actual,False
with_statement_3_sanitized,False
with_statement_3_actual,True
vars_1_actual,True
setattr_1_actual,False
getattr_1_actual,True
field_sensitivity_3_sanitized,False
field_sensitivity_3_false_positive,False
list_to_string_1_actual,True
with_statement_1_sanitized,False
with_statement_1_actual,False
field_sensitivity_1_sanitized,False
field_sensitivity_1_actual,False
field_sensitivity_1_false_positive,False
serialization_1_actual,True
threading_1_false_positive,False
threading_1_actual,True
function_call_1_sanitized,False
function_call_1_actual,True
list_access_2_actual,True
list_access_1_false_positive,True
list_access_1_actual,True
recursion_1_actual,True
minimal_test_2_actual,False
minimal_test_1_actual,False
minimal_test_1_false_positive,False
static_functions_1_actual,False
function_call_2_actual,True
exceptions_2_actual,False
field_sensitivity_2_sanitized,False
field_sensitivity_2_false_positive,False
field_sensitivity_2_actual,False
lambda_functions_1_actual,False
while_statement_1_false_positive,False
while_statement_1_actual,True
while_statement_1_sanitized,False
lambda_functions_2_actual,False
abstract_factory_1_sanitized,False
abstract_factory_1_actual,False
structural_subtypting_1_false_positive,False
structural_subtypting_1_actual,False
exceptions_1_false_positive,False
exceptions_1_actual,True
deque_clone_1_actual,True
if_statement_1_false_positive,True
if_statement_1_actual,True
if_statement_1_sanitized,False
multi_dementional_array_1_false_positive,True
multi_dementional_array_1_actual,True
exec_1_actual,False
decorator_1_actual,False
exceptions_4_actual,False
exceptions_3_false_positive,False
